customer_id,full_name,gender,country,age,annual_income,signup_date,internal_record_number,raw_import_timestamp,data_source,notes
1,Customer 1,Male,USA,43.0,38000.0,2023-03-04,100001,2024-01-01,crm,
2,Customer 2,Male,USA,20.0,,2023-01-15,100002,2024-01-01,crm,
3,Customer 3,Male,Germany,45.0,,,100003,2024-01-01,crm,
4,Customer 4,Male,Germany,43.0,76000.0,,100004,2024-01-01,crm,
5,Customer 5,Male,Germany,27.0,,2023-01-15,100005,2024-01-01,crm,
6,Customer 6,Male,USA,53.0,,2023-07-22,100006,2024-01-01,crm,follow up
7,Customer 7,Male,Germany,45.0,,2023-03-15,100007,2024-01-01,crm,
8,Customer 8,Female,UK,33.0,,2023-03-04,100008,2024-01-01,crm,follow up
9,Customer 9,Male,Germany,22.0,,2023-03-04,100009,2024-01-01,crm,
10,Customer 10,Female,Germany,20.0,,2023-03-04,100010,2024-01-01,crm,follow up
11,Customer 11,Male,UK,47.0,,2023-07-22,100011,2024-01-01,crm,
12,Customer 12,Male,France,45.0,,2023-07-22,100012,2024-01-01,crm,vip
13,Customer 13,Male,Germany,45.0,,2023-01-15,100013,2024-01-01,crm,
14,Customer 14,Male,USA,45.0,,2023-07-22,100014,2024-01-01,crm,
15,Customer 15,Female,Germany,45.0,,,100015,2024-01-01,crm,vip
16,Customer 16,Female,Germany,45.0,,2023-01-15,100016,2024-01-01,crm,
17,Customer 17,Female,USA,45.0,,,100017,2024-01-01,crm,
18,Customer 18,Male,USA,45.0,,,100018,2024-01-01,crm,vip
19,Customer 19,Female,France,72.0,,2023-07-22,100019,2024-01-01,crm,follow up
20,Customer 20,Female,USA,45.0,,2023-01-15,100020,2024-01-01,crm,
21,Customer 21,Female,USA,45.0,33000.0,2023-01-15,100021,2024-01-01,crm,
22,Customer 22,Male,USA,41.0,,,100022,2024-01-01,crm,follow up
23,Customer 23,Female,France,45.0,,2023-01-15,100023,2024-01-01,crm,
24,Customer 24,Female,Germany,45.0,99000.0,2023-03-15,100024,2024-01-01,crm,
25,Customer 25,Female,USA,45.0,,,100025,2024-01-01,crm,
26,Customer 26,Female,Germany,45.0,,2023-01-15,100026,2024-01-01,crm,vip
27,Customer 27,Male,USA,45.0,,2023-03-15,100027,2024-01-01,crm,
28,Customer 28,Female,UK,45.0,,2023-03-04,100028,2024-01-01,crm,
29,Customer 29,Male,UK,45.0,,,100029,2024-01-01,crm,vip
30,Customer 30,Female,UK,45.0,113000.0,2023-03-15,100030,2024-01-01,crm,
31,Customer 31,Female,Germany,45.0,,,100031,2024-01-01,crm,
32,Customer 32,Female,France,40.0,,2023-03-15,100032,2024-01-01,crm,follow up
33,Customer 33,Female,Germany,45.0,,2023-07-22,100033,2024-01-01,crm,follow up
34,Customer 34,Female,USA,45.0,,2023-01-15,100034,2024-01-01,crm,
35,Customer 35,Male,Germany,45.0,,2023-03-15,100035,2024-01-01,crm,
36,Customer 36,Male,USA,69.0,,2023-03-15,100036,2024-01-01,crm,
37,Customer 37,Male,USA,45.0,,,100037,2024-01-01,crm,vip
